subjID,trialNumber,role,k,ksay,callBS,catchQuestion,catchQuestionAbbr,catchResponse,catchKey,catchResponseTime,condition
subj113,1,receiver,3,9,TRUE,"NA","NA",-1,-1,-1,truth
subj113,2,sender,4,6,TRUE,"NA","NA",-1,-1,-1,truth
subj113,3,receiver,3,3,FALSE,"NA","NA",-1,-1,-1,truth
subj113,4,sender,10,10,TRUE,What number did you actually roll?,truth,10,10,3896,truth
subj113,5,receiver,3,8,TRUE,"NA","NA",-1,-1,-1,truth
subj113,6,sender,5,7,FALSE,"NA","NA",-1,-1,-1,truth
subj113,7,receiver,3,5,FALSE,"NA","NA",-1,-1,-1,truth
subj113,8,sender,9,9,TRUE,What number did you actually roll?,truth,9,9,3303,truth
subj113,9,receiver,6,6,FALSE,"NA","NA",-1,-1,-1,truth
subj113,10,sender,2,8,FALSE,What number did you actually roll?,truth,2,2,3062,truth
subj113,11,receiver,3,7,TRUE,"NA","NA",-1,-1,-1,truth
subj113,12,sender,1,7,FALSE,"NA","NA",-1,-1,-1,truth
subj113,13,receiver,10,10,FALSE,"NA","NA",-1,-1,-1,truth
subj113,14,sender,7,8,FALSE,"NA","NA",-1,-1,-1,truth
subj113,15,receiver,8,8,TRUE,"NA","NA",-1,-1,-1,truth
subj113,16,sender,0,6,FALSE,What number did you actually roll?,truth,0,0,2777,truth
subj113,17,receiver,10,10,TRUE,"NA","NA",-1,-1,-1,truth
subj113,18,sender,10,10,FALSE,"NA","NA",-1,-1,-1,truth
subj113,19,receiver,10,10,FALSE,"NA","NA",-1,-1,-1,truth
subj113,20,sender,8,8,TRUE,What number did you actually roll?,truth,8,8,3055,truth
subj113,21,receiver,3,10,TRUE,"NA","NA",-1,-1,-1,truth
subj113,22,sender,0,10,FALSE,What number did you actually roll?,truth,0,0,2960,truth
subj113,23,receiver,1,4,FALSE,"NA","NA",-1,-1,-1,truth
subj113,24,sender,5,5,FALSE,"NA","NA",-1,-1,-1,truth
subj113,25,receiver,3,8,TRUE,"NA","NA",-1,-1,-1,truth
subj113,26,sender,6,8,FALSE,What number did you actually roll?,truth,6,6,5721,truth
subj113,27,receiver,6,5,FALSE,"NA","NA",-1,-1,-1,truth
subj113,28,sender,5,9,FALSE,"NA","NA",-1,-1,-1,truth
subj113,29,receiver,10,10,TRUE,"NA","NA",-1,-1,-1,truth
subj113,30,sender,2,4,FALSE,"NA","NA",-1,-1,-1,truth
subj113,31,receiver,2,6,FALSE,"NA","NA",-1,-1,-1,truth
subj113,32,sender,3,5,FALSE,What number did you actually roll?,truth,3,3,3871,truth
subj113,33,receiver,4,4,FALSE,"NA","NA",-1,-1,-1,truth
subj113,34,sender,7,7,FALSE,What number did you actually roll?,truth,7,7,3111,truth
subj113,35,receiver,7,7,FALSE,"NA","NA",-1,-1,-1,truth
subj113,36,sender,5,10,TRUE,"NA","NA",-1,-1,-1,truth
subj113,37,receiver,2,5,FALSE,"NA","NA",-1,-1,-1,truth
subj113,38,sender,0,4,FALSE,What number did you actually roll?,truth,0,0,2599,truth
subj113,39,receiver,8,8,TRUE,"NA","NA",-1,-1,-1,truth
subj113,40,sender,7,7,FALSE,"NA","NA",-1,-1,-1,truth
subj113,41,receiver,7,10,FALSE,"NA","NA",-1,-1,-1,truth
subj113,42,sender,10,10,FALSE,What number did you actually roll?,truth,10,10,3724,truth
subj113,43,receiver,4,4,FALSE,"NA","NA",-1,-1,-1,truth
subj113,44,sender,6,6,FALSE,"NA","NA",-1,-1,-1,truth
subj113,45,receiver,3,3,FALSE,"NA","NA",-1,-1,-1,truth
subj113,46,sender,10,10,TRUE,What number did you actually roll?,truth,10,10,3660,truth
subj113,47,receiver,3,10,FALSE,"NA","NA",-1,-1,-1,truth
subj113,48,sender,5,7,FALSE,"NA","NA",-1,-1,-1,truth
subj113,49,receiver,7,7,TRUE,"NA","NA",-1,-1,-1,truth
subj113,50,sender,7,7,TRUE,"NA","NA",-1,-1,-1,truth
subj113,51,receiver,8,0,FALSE,"NA","NA",-1,-1,-1,truth
subj113,52,sender,10,10,TRUE,What number did you actually roll?,truth,10,10,3867,truth
subj113,53,receiver,10,10,TRUE,"NA","NA",-1,-1,-1,truth
subj113,54,sender,4,5,FALSE,"NA","NA",-1,-1,-1,truth
subj113,55,receiver,1,6,FALSE,"NA","NA",-1,-1,-1,truth
subj113,56,sender,10,10,TRUE,What number did you actually roll?,truth,10,10,3661,truth
subj113,57,receiver,6,6,FALSE,"NA","NA",-1,-1,-1,truth
subj113,58,sender,5,8,FALSE,"NA","NA",-1,-1,-1,truth
subj113,59,receiver,9,8,TRUE,"NA","NA",-1,-1,-1,truth
subj113,60,sender,7,7,FALSE,What number did you actually roll?,truth,7,7,3054,truth
subj113,61,receiver,1,4,FALSE,"NA","NA",-1,-1,-1,truth
subj113,62,sender,8,8,TRUE,"NA","NA",-1,-1,-1,truth
subj113,63,receiver,7,8,TRUE,"NA","NA",-1,-1,-1,truth
subj113,64,sender,9,9,FALSE,What number did you actually roll?,truth,9,9,2889,truth
subj113,65,receiver,6,10,FALSE,"NA","NA",-1,-1,-1,truth
subj113,66,sender,1,0,FALSE,What number did you actually roll?,truth,1,1,3776,truth
subj113,67,receiver,1,2,FALSE,"NA","NA",-1,-1,-1,truth
subj113,68,sender,0,0,FALSE,"NA","NA",-1,-1,-1,truth
subj113,69,receiver,0,10,TRUE,"NA","NA",-1,-1,-1,truth
subj113,70,sender,0,10,FALSE,What number did you actually roll?,truth,0,0,3445,truth
subj113,71,receiver,6,7,FALSE,"NA","NA",-1,-1,-1,truth
subj113,72,sender,6,8,FALSE,"NA","NA",-1,-1,-1,truth
subj113,73,receiver,0,8,FALSE,"NA","NA",-1,-1,-1,truth
subj113,74,sender,8,8,FALSE,"NA","NA",-1,-1,-1,truth
subj113,75,receiver,3,6,FALSE,"NA","NA",-1,-1,-1,truth
