subjID,exptPart,trialNumber,roleCurrent,diceSides,trueRoll,reportedRoll,compLie,compUnifLie,callBS,playerTrialScore,oppTrialScore,playerTotalScore,oppTotalScore,waitTime,responseTime,catchQuestion,catchKey,catchResponse,catchResponseTime,trialTime
sona-42611,practice,1,bullshitter,10,6,6,0,False,False,6,4,6,4,2635.0693358225985,1644009911936,What number did you actually roll?,6,6,6110,22518
sona-42611,practice,2,bullshitDetector,10,5,5,4,False,False,5,5,11,9,6290.512879835973,7742,,-1,-1,-1,20656
sona-42611,trial,1,bullshitDetector,10,3,9,9,False,True,5,-5,5,-5,6847.526265186772,3356,,-1,-1,-1,15167
sona-42611,trial,2,bullshitter,10,4,6,9,False,True,-5,5,0,0,2231.727434000606,16288,,-1,-1,-1,13017
sona-42611,trial,3,bullshitDetector,10,3,3,0,False,False,7,3,7,3,6549.97084487079,3312,,-1,-1,-1,12635
sona-42611,trial,4,bullshitter,10,10,10,0,False,True,10,-5,17,-2,2639.0124385220925,14910,What number did you actually roll?,10,10,3896,17796
sona-42611,trial,5,bullshitDetector,10,3,8,0,True,True,5,-5,22,-7,5872.318933708919,4513,,-1,-1,-1,13991
sona-42611,trial,6,bullshitter,10,5,7,0,False,False,7,3,29,-4,2490.141184196419,15594,,-1,-1,-1,12538
sona-42611,trial,7,bullshitDetector,10,3,5,5,False,False,5,5,34,1,6474.002002472478,2336,,-1,-1,-1,11029
sona-42611,trial,8,bullshitter,10,9,9,5,False,True,9,-4,43,-3,2178.0305900091844,10976,What number did you actually roll?,9,9,3303,14644
sona-42611,trial,9,bullshitDetector,10,6,6,1,False,False,4,6,47,3,7031.845217577933,4137,,-1,-1,-1,19905
sona-42611,trial,10,bullshitter,10,2,8,1,False,False,8,2,55,5,2794.1368308964,18787,What number did you actually roll?,2,2,3062,14466
sona-42611,trial,11,bullshitDetector,10,3,7,7,False,True,5,-5,60,0,5736.138425177872,5000,,-1,-1,-1,13032
sona-42611,trial,12,bullshitter,10,1,7,7,False,False,7,3,67,3,2639.8292312612484,13860,,-1,-1,-1,11371
sona-42611,trial,13,bullshitDetector,10,10,10,10,False,False,0,10,67,13,6366.500197693886,6563,,-1,-1,-1,15016
sona-42611,trial,14,bullshitter,10,7,8,10,False,False,8,2,75,15,2688.3485197652208,14940,,-1,-1,-1,12422
sona-42611,trial,15,bullshitDetector,10,8,8,0,False,True,-3,8,72,23,6565.638059279952,2981,,-1,-1,-1,11856
sona-42611,trial,16,bullshitter,10,0,6,0,False,False,6,4,78,27,2156.577802902101,11508,What number did you actually roll?,0,0,2777,13641
sona-42611,trial,17,bullshitDetector,10,10,10,5,False,True,-5,10,73,37,5841.175571088854,1981,,-1,-1,-1,9985
sona-42611,trial,18,bullshitter,10,10,10,5,False,False,10,0,83,37,2191.820694055439,10055,,-1,-1,-1,11852
sona-42611,trial,19,bullshitDetector,10,10,10,5,False,False,0,10,83,47,5364.927305923313,3537,,-1,-1,-1,11006
sona-42611,trial,20,bullshitter,10,8,8,5,False,True,8,-3,91,44,2870.378737873227,12293,What number did you actually roll?,8,8,3055,15477
