subjID,trialNumber,role,k,ksay,callBS,catchQuestion,catchQuestionAbbr,catchResponse,catchKey,catchResponseTime,condition
subj113,1,receiver,3,9,TRUE,"NA","NA",-1,-1,-1,truth
subj113,3,receiver,3,3,FALSE,"NA","NA",-1,-1,-1,truth
subj113,5,receiver,3,8,TRUE,"NA","NA",-1,-1,-1,truth
subj113,7,receiver,3,5,FALSE,"NA","NA",-1,-1,-1,truth
subj113,9,receiver,6,6,FALSE,"NA","NA",-1,-1,-1,truth
subj113,11,receiver,3,7,TRUE,"NA","NA",-1,-1,-1,truth
subj113,13,receiver,10,10,FALSE,"NA","NA",-1,-1,-1,truth
subj113,15,receiver,8,8,TRUE,"NA","NA",-1,-1,-1,truth
subj113,17,receiver,10,10,TRUE,"NA","NA",-1,-1,-1,truth
subj113,19,receiver,10,10,FALSE,"NA","NA",-1,-1,-1,truth
subj113,21,receiver,3,10,TRUE,"NA","NA",-1,-1,-1,truth
subj113,23,receiver,1,4,FALSE,"NA","NA",-1,-1,-1,truth
subj113,25,receiver,3,8,TRUE,"NA","NA",-1,-1,-1,truth
subj113,27,receiver,6,5,FALSE,"NA","NA",-1,-1,-1,truth
subj113,29,receiver,10,10,TRUE,"NA","NA",-1,-1,-1,truth
subj113,31,receiver,2,6,FALSE,"NA","NA",-1,-1,-1,truth
subj113,33,receiver,4,4,FALSE,"NA","NA",-1,-1,-1,truth
subj113,35,receiver,7,7,FALSE,"NA","NA",-1,-1,-1,truth
subj113,37,receiver,2,5,FALSE,"NA","NA",-1,-1,-1,truth
subj113,39,receiver,8,8,TRUE,"NA","NA",-1,-1,-1,truth
subj113,41,receiver,7,10,FALSE,"NA","NA",-1,-1,-1,truth
subj113,43,receiver,4,4,FALSE,"NA","NA",-1,-1,-1,truth
subj113,45,receiver,3,3,FALSE,"NA","NA",-1,-1,-1,truth
subj113,47,receiver,3,10,FALSE,"NA","NA",-1,-1,-1,truth
subj113,49,receiver,7,7,TRUE,"NA","NA",-1,-1,-1,truth
subj113,51,receiver,8,0,FALSE,"NA","NA",-1,-1,-1,truth
subj113,53,receiver,10,10,TRUE,"NA","NA",-1,-1,-1,truth
subj113,55,receiver,1,6,FALSE,"NA","NA",-1,-1,-1,truth
subj113,57,receiver,6,6,FALSE,"NA","NA",-1,-1,-1,truth
subj113,59,receiver,9,8,TRUE,"NA","NA",-1,-1,-1,truth
subj113,61,receiver,1,4,FALSE,"NA","NA",-1,-1,-1,truth
subj113,63,receiver,7,8,TRUE,"NA","NA",-1,-1,-1,truth
subj113,65,receiver,6,10,FALSE,"NA","NA",-1,-1,-1,truth
subj113,67,receiver,1,2,FALSE,"NA","NA",-1,-1,-1,truth
subj113,69,receiver,0,10,TRUE,"NA","NA",-1,-1,-1,truth
subj113,71,receiver,6,7,FALSE,"NA","NA",-1,-1,-1,truth
subj113,73,receiver,0,8,FALSE,"NA","NA",-1,-1,-1,truth
subj113,75,receiver,3,6,FALSE,"NA","NA",-1,-1,-1,truth
subj113,77,receiver,10,10,FALSE,"NA","NA",-1,-1,-1,truth
subj113,79,receiver,3,4,FALSE,"NA","NA",-1,-1,-1,truth
subj113,81,receiver,10,10,TRUE,"NA","NA",-1,-1,-1,truth
subj113,83,receiver,5,5,FALSE,"NA","NA",-1,-1,-1,truth
subj113,85,receiver,10,10,TRUE,"NA","NA",-1,-1,-1,truth
subj113,87,receiver,4,4,FALSE,"NA","NA",-1,-1,-1,truth
subj113,89,receiver,0,2,FALSE,"NA","NA",-1,-1,-1,truth
subj113,91,receiver,9,9,FALSE,"NA","NA",-1,-1,-1,truth
subj113,93,receiver,8,8,TRUE,"NA","NA",-1,-1,-1,truth
subj113,95,receiver,5,5,FALSE,"NA","NA",-1,-1,-1,truth
subj113,97,receiver,5,3,FALSE,"NA","NA",-1,-1,-1,truth
subj113,99,receiver,6,6,FALSE,"NA","NA",-1,-1,-1,truth
subj080,2,receiver,10,10,TRUE,"NA","NA",-1,-1,-1,truth
subj080,4,receiver,7,7,FALSE,"NA","NA",-1,-1,-1,truth
subj080,6,receiver,0,4,FALSE,"NA","NA",-1,-1,-1,truth
subj080,8,receiver,5,5,FALSE,"NA","NA",-1,-1,-1,truth
subj080,10,receiver,7,8,FALSE,"NA","NA",-1,-1,-1,truth
subj080,12,receiver,3,10,FALSE,"NA","NA",-1,-1,-1,truth
subj080,14,receiver,8,10,TRUE,"NA","NA",-1,-1,-1,truth
subj080,16,receiver,9,10,TRUE,"NA","NA",-1,-1,-1,truth
subj080,18,receiver,10,10,TRUE,"NA","NA",-1,-1,-1,truth
subj080,20,receiver,10,10,TRUE,"NA","NA",-1,-1,-1,truth
subj080,22,receiver,3,3,FALSE,"NA","NA",-1,-1,-1,truth
subj080,24,receiver,1,5,FALSE,"NA","NA",-1,-1,-1,truth
subj080,26,receiver,7,6,FALSE,"NA","NA",-1,-1,-1,truth
subj080,28,receiver,5,0,FALSE,"NA","NA",-1,-1,-1,truth
subj080,30,receiver,9,9,FALSE,"NA","NA",-1,-1,-1,truth
subj080,32,receiver,0,5,FALSE,"NA","NA",-1,-1,-1,truth
subj080,34,receiver,5,5,FALSE,"NA","NA",-1,-1,-1,truth
subj080,36,receiver,10,4,FALSE,"NA","NA",-1,-1,-1,truth
subj080,38,receiver,4,4,FALSE,"NA","NA",-1,-1,-1,truth
subj080,40,receiver,0,1,FALSE,"NA","NA",-1,-1,-1,truth
subj080,42,receiver,8,9,TRUE,"NA","NA",-1,-1,-1,truth
subj080,44,receiver,10,10,TRUE,"NA","NA",-1,-1,-1,truth
subj080,46,receiver,10,10,TRUE,"NA","NA",-1,-1,-1,truth
subj080,48,receiver,4,5,FALSE,"NA","NA",-1,-1,-1,truth
subj080,50,receiver,7,7,TRUE,"NA","NA",-1,-1,-1,truth
subj080,52,receiver,6,6,FALSE,"NA","NA",-1,-1,-1,truth
subj080,54,receiver,9,8,FALSE,"NA","NA",-1,-1,-1,truth
subj080,56,receiver,0,2,FALSE,"NA","NA",-1,-1,-1,truth
subj080,58,receiver,4,4,FALSE,"NA","NA",-1,-1,-1,truth
subj080,60,receiver,7,7,TRUE,"NA","NA",-1,-1,-1,truth
subj080,62,receiver,4,9,TRUE,"NA","NA",-1,-1,-1,truth
subj080,64,receiver,4,7,TRUE,"NA","NA",-1,-1,-1,truth
